,course_name,instructor,course description,reviews_avg,reviews_count,course_duration,lectures_count,level,price_after_discount,main_price,course_flag,students_count,len descreption,amount of discount
4123,Beast Android Development: Advanced Android UI,"Carlos Valentin, Beast Android Development","Master Android Design, Google APIs, and Different Android Libraries. Learn to implement Firebase as your apps back-end.",3.4,176,12.0,53,Intermediate,269.99,449.99,Normal,3570.0,119,180.0
4124,Learn to make websites with Google's Material Design Lite,Adrian Henry,A complete guide to Google's Front End Web Framework Material Design Lite.,4.0,176,5.5,84,All Levels,199.99,229.99,Normal,1518.0,74,30.0
4125,Dart Masterclass Programming Course: iOS/Android Bible,Frahaan Hussain,Dart is a very powerful language. The future of iOS & Android is Dart. Powers the ultimate mobile framework Flutter.,4.3,176,4.0,73,All Levels,269.99,1299.99,Normal,18171.0,116,1030.0
4126,Complete Machine Learning & Data Science with Python | A-Z,Oak Academy,"Use Scikit, learn NumPy, Pandas, Matplotlib, Seaborn and dive into machine learning A-Z with Python and Data Science.",4.7,176,9.5,52,All Levels,269.99,1299.99,Normal,17784.0,117,1030.0
4127,How to create a CRUD Application with Python and SQL Server,Bluelime Learning Solutions,Create a Python Application to  interact with SQL Server Database,4.3,176,4.0,36,Beginner,319.99,619.99,Normal,5113.0,65,300.0
4128,Flutter Blog app Using Firestore Build ios & Android App,Yazdani Chowdhury,Build App for ios and Android-You will learn how to use Cloud Firestore with Flutter. Build Complete Blog app,4.5,176,2.5,9,All Levels,269.99,1299.99,Normal,14149.0,109,1030.0
4129,Learn the Newest and EASIEST React Native Stack,Sezgi Ulucam,"A full-stack mobile app tutorial with Hasura easy backend, GraphQL, Apollo, Expo, Auth0, and React Hooks.",4.0,176,1.5,37,All Levels,269.99,679.99,Normal,1127.0,105,410.0
4130,Master Tkinter By Building 5 Fully Functioning Apps,Mohammad Mahjoub,This course is​ all ​you need to became a master Tkinter​ developer.,4.2,176,5.0,47,All Levels,269.99,1299.99,Normal,4797.0,68,1030.0
4131,Ethereum Tutorial: Ethereum & Smart Contracts from Scratch,David Joseph Katz,"Updated for 2022-23: Create your own Ethereum system, with smart contracts, a blockchain, cryptocurrency, and more!",4.9,176,10.5,63,Intermediate,269.99,1399.99,Normal,1728.0,115,1130.0
4132,Learn React by Building Real Projects,Joe Santos Garcia,Be challenged and build a real web application,3.0,176,7.5,32,Beginner,229.99,1199.99,Normal,11225.0,46,970.0
4133,Julia Programming For Data Science & Machine Learning: Julia,"Ankit Mistry, Data Science & Machine Learning Academy",Learn power of Julia High performace programming for Data Science and Machine Learning with nearly C like Performace,4.0,176,4.0,37,Beginner,229.99,1199.99,Normal,1839.0,116,970.0
